,hospital_name,theme_name,text
13,The Mombasa Hospital,Facility Feedback,"Vacationers, just never get sick in Kenya and above all, don't go to Mombasa Hospital!!! You just get fleeced there and leave as an impoverished person!

I was in Mombasa Hospital from February 8th to February 11th, 2017 because of severe diarrhea, high blood pressure, severe bronchitis, circulatory problems, and weakness. Had to make a €2,000 deposit first before anything was done. The treatment at the outpatient station was okay so far. I came to a private single room on the upper floor, the bed had an old sagging mattress, a lumpy pillow, zero comfort, the wind whistled through the room like organ pipes. Medical care was fine, I was pumped full of infusions and medication. With the exception of two very nice women, the nurses were anything but helpful, unfriendly, impolite and they made me clearly feel that I was a ""supposedly"" rich old ""Mzungu"" European woman. I'm not rich or anything. The €5,000 I had to pay was my entire savings...The food was horrible, absolutely not edible in my condition with intestinal problems, there was the same food every day. I had to constantly ask for water, got 2 x 1 cups of tea a day, otherwise only water, for breakfast 2 pieces of bread, 1 mini piece of margerine and some jam, 1 cup, and lived on some rice and bland boiled vegetables. There was always an enormous level of noise in the hallway and in the rooms next door due to the staff and the many visitors with even more children, ruckus, noise, screaming, often until midnight! My blood pressure rose day by day as I felt worse and worse. On February 11th I wanted to have an invoice as to what I should pay. I was presented with a bill for 491,897 schillings = 4,981.97 euros for this 4 day treatment!! With the information that Europeans would have to pay significantly more! My blood pressure then rose to more than 185. The doctor said I couldn't be released - probably to make me look even more like a Christmas goose!!! - but I called the tour guide who was supposed to pick me up immediately. I immediately booked an early return flight (I still had 2 weeks in the hotel...) and had to grudgingly pay the 4,981.97 euros. Thank God I had 5,000 euros in my Visa account, otherwise I would have looked old. Since my cash resources were low and I needed further medical attention, I had to fly home immediately.
Since February 14th I have been back home and receiving good medical care. No additional costs! I will never set foot on African soil again!"
14,The Mombasa Hospital,Facility Feedback,"Vacationers, just never get sick in Kenya and above all, don't go to Mombasa Hospital!!! You just get fleeced there and leave as an impoverished person!

I was in Mombasa Hospital from February 8th to February 11th, 2017 because of severe diarrhea, high blood pressure, severe bronchitis, circulatory problems, and weakness. Had to make a €2,000 deposit first before anything was done. The treatment at the outpatient station was okay so far. I came to a private single room on the upper floor, the bed had an old sagging mattress, a lumpy pillow, zero comfort, the wind whistled through the room like organ pipes. Medical care was fine, I was pumped full of infusions and medication. With the exception of two very nice women, the nurses were anything but helpful, unfriendly, impolite and they made me clearly feel that I was a ""supposedly"" rich old ""Mzungu"" European woman. I'm not rich or anything. The €5,000 I had to pay was my entire savings...The food was horrible, absolutely not edible in my condition with intestinal problems, there was the same food every day. I had to constantly ask for water, got 2 x 1 cups of tea a day, otherwise only water, for breakfast 2 pieces of bread, 1 mini piece of margerine and some jam, 1 cup, and lived on some rice and bland boiled vegetables. There was always an enormous level of noise in the hallway and in the rooms next door due to the staff and the many visitors with even more children, ruckus, noise, screaming, often until midnight! My blood pressure rose day by day as I felt worse and worse. On February 11th I wanted to have an invoice as to what I should pay. I was presented with a bill for 491,897 schillings = 4,981.97 euros for this 4 day treatment!! With the information that Europeans would have to pay significantly more! My blood pressure then rose to more than 185. The doctor said I couldn't be released - probably to make me look even more like a Christmas goose!!! - but I called the tour guide who was supposed to pick me up immediately. I immediately booked an early return flight (I still had 2 weeks in the hotel...) and had to grudgingly pay the 4,981.97 euros. Thank God I had 5,000 euros in my Visa account, otherwise I would have looked old. Since my cash resources were low and I needed further medical attention, I had to fly home immediately.
Since February 14th I have been back home and receiving good medical care. No additional costs! I will never set foot on African soil again!"
15,The Mombasa Hospital,Facility Feedback,"I am at the hospital right now. I have not yet gone to see the doctor but I already have a bad experience with one of the nurses at the reception desk. I don't understand why registration should take more than 15 minutes. Then when I raise my concern on the waiting time because I was feeling dizzy this was her response 'tusiharibiane siku tadadhali'. I  honestly did not expect such langunage from a hospital staff, let alone someone stationed at the customer service desk."
16,Kenyatta National Hospital,Facility Feedback,This is the worst hospital nowadays u reach here at 5:00am and ur served late like 9:00am they talk rudely something has to be done the waiting area is congested not enough chairs it doesnt even deserve any star
17,The Mombasa Hospital,Facility Feedback,The problem is they don't use the resolution insurance card.... I don't no they stated using.
18,The Mombasa Hospital,Facility Feedback,"I am at the hospital right now. I have not yet gone to see the doctor but I already have a bad experience with one of the nurses at the reception desk. I don't understand why registration should take more than 15 minutes. Then when I raise my concern on the waiting time because I was feeling dizzy this was her response 'tusiharibiane siku tadadhali'. I  honestly did not expect such langunage from a hospital staff, let alone someone stationed at the customer service desk."
19,Kenyatta National Hospital,Facility Feedback,"I blindly believed the negative hearsay about the hospital.....however,after my sister's admission, I have wondered why pple pay exorbitant fees for medical attention in private hospitals....kenyatta hospital is no longer what it used to be.....it is a completely transformed service , .nurses are extremely friendly,efficient, ....in a nutshell, the service is on point .....5 star especially to nurses/doctors on 7th floor....Nurse Munyi and your team,you are exceptional...be blessed....#rheumatology wing..
.."
20,The Mombasa Hospital,Hospital Services,"This place is thevimg money from sick patients
All Out patients coming to the hospital after 5pm are being charged double. I thought this hospitals was there to serve the sick but seems it there to rob the unfortunates who have to visit it after five pm.. pathetic"
21,Moi Teaching And Referral Hospital,Hospital Services,This hospital is currently busy in training and support for the students put they don't care about health and safety to patients this is because patients die soon I will report to media
22,The Mombasa Hospital,Hospital Services,"DON'T GET YOUR COVID19 PCR TEST HERE.
Took a PCR test and the results came back positive.. went to the border post to get a PCR test and the results came back negative.
You'll risk missing your flight!"
23,Moi Teaching And Referral Hospital,Hospital Services,"Biggest public hospital after Kenyatta National Hospital. It has separate maternity, Paediatric hospital and cancer centre"
24,Moi Teaching And Referral Hospital,Hospital Services,"A teaching, research and referral hospital MTRH serving the North rift, western and nearly regions. Well equipped and attends to emergency medical cases from the region."
25,Kenyatta National Hospital,Hospital Services,"A failed national hospital.
It has rude, demotivated staff, I wonder whether there is anything that can be done to restore hope in this hospital.

A doctor there personally encouraged me to go to KU referral hospital having been referred to KNH at first.

I will be back there at my death lap. Paid money for consultancy but never got attended to."
26,The Mombasa Hospital,Hospital Services,"DON'T GET YOUR COVID19 PCR TEST HERE.
Took a PCR test and the results came back positive.. went to the border post to get a PCR test and the results came back negative.
You'll risk missing your flight!"
27,Kenyatta National Hospital,Hospital Services,The place has a lift which is always faulty and the fire exit are full during visiting hours.
28,The Mombasa Hospital,Hospital Services,"This place is thevimg money from sick patients
All Out patients coming to the hospital after 5pm are being charged double. I thought this hospitals was there to serve the sick but seems it there to rob the unfortunates who have to visit it after five pm.. pathetic"
29,The Mombasa Hospital,Hospital Services,A bit confusing to navigate if you are new. It is a decent hospital to get vaccination shots for travel purposes.
30,Kenyatta National Hospital,Improvement Areas,The hospital has no idea of what an emergency is. They keep patients to raise money instead of serving them to go home. It has taken 3 weeks and counting for an accident patient to be attended in the wards despite him needing surgery to enable him leave and go to bury his wife who died in the accident.  If I  get sick please those who handle me shouldn't consider KNH. Please.
31,The Mombasa Hospital,Improvement Areas,"Worst customer service,I think some workers have overstayed there untill they dont feel pain of patients,"
32,The Mombasa Hospital,Improvement Areas,"Pathetic services. Very slow service delivery. Keeping patients for long before attending them.
How can a post treatment review by a doctor take a whole 8 hours ? And they don’t care."
33,The Mombasa Hospital,Improvement Areas,"Pathetic services. Very slow service delivery. Keeping patients for long before attending them.
How can a post treatment review by a doctor take a whole 8 hours ? And they don’t care."
34,The Mombasa Hospital,Improvement Areas,"Outpatient services are very slow & tideous. From triage, to doctors, to pharmacy, and worst of all payment takes the longest time frame.

Give yourself 3-4 hours minimum"
35,Kenyatta National Hospital,Improvement Areas,Poor customer experience
36,The Mombasa Hospital,Improvement Areas,"Pathetic services. Very slow service delivery. Keeping patients for long before attending them.
How can a post treatment review by a doctor take a whole 8 hours ? And they don’t care."
37,The Mombasa Hospital,Improvement Areas,"Why can the one station where you register, take card payment and enter all details into the system? Time waste and higher risk for everyone, the current system. Now person who takes sample has left... Lot's of timewaste and unnecessary delay.. look into your system. one stop instead of hunting with a paper through the hospital..."
38,The Mombasa Hospital,Improvement Areas,"Pathetic services. Very slow service delivery. Keeping patients for long before attending them.
How can a post treatment review by a doctor take a whole 8 hours ? And they don’t care."
39,Moi Teaching And Referral Hospital,Improvement Areas,"Your systems are always down and the fact that you people know about it and do nothing about it is not patient friendly, and being ignorant"
40,Kenyatta National Hospital,Staff and Care Quality ,"The place is like a maze. Navigating within the facility is very difficult, time consuming, and frustrating. You may end up queuing in the wrong place for hours. Few doctors and nurses are kind and really nice, majority have no empathy at all."
41,Moi Teaching And Referral Hospital,Staff and Care Quality ,Praying for the sick
42,Moi Teaching And Referral Hospital,Staff and Care Quality ,"They kept on reffering us to different doctors three days straight.
And three days later I lost my dad I hate the place the staff the everything!!!! I hate them all!!!! I guess thats why they call it a referral hospital no pun intended. Though I wouldn't wish it on my worst enemy."
43,Moi Teaching And Referral Hospital,Staff and Care Quality ,"They kept on reffering us to different doctors three days straight.
And three days later I lost my dad I hate the place the staff the everything!!!! I hate them all!!!! I guess thats why they call it a referral hospital no pun intended. Though I wouldn't wish it on my worst enemy."
44,Moi Teaching And Referral Hospital,Staff and Care Quality ,"They kept on reffering us to different doctors three days straight.
And three days later I lost my dad I hate the place the staff the everything!!!! I hate them all!!!! I guess thats why they call it a referral hospital no pun intended. Though I wouldn't wish it on my worst enemy."
45,Moi Teaching And Referral Hospital,Staff and Care Quality ,Am not filing ok with MTRH nowadays after they removed us from outpatient and we are paying NHIF so what do you want us to do then!!!!!!????🙏🙏🙏🙏 …
46,Kenyatta National Hospital,Staff and Care Quality ,Emergency service executed well.
47,Moi Teaching And Referral Hospital,Staff and Care Quality ,Am not filing ok with MTRH nowadays after they removed us from outpatient and we are paying NHIF so what do you want us to do then!!!!!!????🙏🙏🙏🙏 …
48,Moi Teaching And Referral Hospital,Staff and Care Quality ,Am not filing ok with MTRH nowadays after they removed us from outpatient and we are paying NHIF so what do you want us to do then!!!!!!????🙏🙏🙏🙏 …
49,Moi Teaching And Referral Hospital,Staff and Care Quality ,Praying for the sick
